state,district,url,status,youtube_ids,pdf_urls,google_urls
Andhra Pradesh,Dr BR Ambedkar Konaseema,,FAILED,"P2erO6khiaY,csfwzRMkM2s",,https://www.imarcgroup.com/banana-fiber-manufacturing-plant-project-report|https://www.businessresearchinsights.com/market-reports/banana-fiber-market-117900|https://dataintelo.com/report/global-banana-fiber-market|https://www.cognitivemarketresearch.com/banana-fiber-market-report|https://www.scribd.com/document/426545335/Project-Report-on-Banana-Fiber-Extraction
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,,FAILED,"bUybHyuaI7s,Lq1Sd1AfCpU,31JffcNif2g,b1DC716n3FA,somMr8Xz6w4",,"https://www.emaxindia.in/post-nanny-franchise-in-dr-b-r-ambedkar-konaseema/|https://www.braou.ac.in/|https://www.nextias.com/blog/dr-br-ambedkar/|https://grokipedia.com/page/Ramachandrapuram,_Konaseema_district|https://in.pinterest.com/nagarjuna2ndbc/dr-b-r-ambedkar/"
Andhra Pradesh,East Godavari,https://eastgodavari.ap.gov.in/one-district-one-product/,MATCH,,,https://in.kompass.com/s/agriculture-food/01/r/andhra-pradesh/in_inap/|https://static.investindia.gov.in/s3fs-public/2024-02/ODOP+Product+List.pdf|https://www.india.gov.in/explore-india/odop/details/fruit-based-food-products-pickles-mango-jelly-fruit-pulp-cashew-nuts-lemon-extracts|https://worldtradescanner.com/20230609_ODOP+Product+List.pdf|https://www.godavarivantillu.com/
Andhra Pradesh,Eluru,https://eluru.ap.gov.in/one-district-one-product/,MATCH,"HfeCULvviBY,QWtKbWhHBQs,4DHn1coa8LI,0JmfioAf3Y4,rTeaJROw3XY",,https://www.goldenchennai.com/finance/silver-rate-in-andhra-pradesh/silver-rate-in-eluru/|https://www.financialexpress.com/gold-rate-today/|https://www.goodreturns.in/gold-rates/|https://upstox.com/gold-rates/|https://www.bhimagold.com/
Andhra Pradesh,Guntur,https://guntur.ap.gov.in/one-district-one-product/,MATCH,"JPpDNCnah1I,5GpcvYoxNlo,AQiHmipeCw4,FSSDsax7zqI,PluFw5Io6oQ",,https://www.agriculturaljournals.com/archives/2025/vol7issue7/PartD/7-7-14-108.pdf|https://aaj.net.in/wp-content/uploads/2024/04/652012_ab-.pdf|https://guntur.ap.gov.in/odop2024/|https://ijrar.org/papers/IJRAR22B1904.pdf
Andhra Pradesh,Kakinada,https://kakinada.ap.gov.in/one-district-one-product/,MATCH,"OX8eMJfvyVI,kcru_2OTRY4,JlExjB4H1cw,iGNPj23UmA0,1GDwAnjMehg",,https://www.thehindu.com/news/national/andhra-pradesh/ministry-of-textiles-engages-experts-to-survey-uppada-jamdani-saree-weaving-aims-to-support-handloom-weavers-in-andhra-pradesh/article69807430.ece|https://rutube.ru/video/b88a9568453c7a51a5b79f3c380d0b88/|https://startuppedia.in/trending/startup-news/shobitam-acquires-kalaneca-to-take-uppada-jamdani-sarees-global-and-spotlight-indias-finest-handloom-traditions-11736701|https://www.textileinfomedia.com/kakinada/uppada-sarees.htm
Andhra Pradesh,Krishna,https://krishna.ap.gov.in/one-district-one-product/,MATCH,"rWJjzyHAZLA,J82WeCSD7bc,suEO7Nd9-iQ,4W83MWBdT4Y,fNiFnynnMZo",,https://www.exportersindia.com/machilipatnam-kalamkari/|https://www.memeraki.com/blogs/posts/machilipatnam-kalamkari-the-timeless-art-of-block-printing|https://www.dial4trade.com/machilipatnam-kalamkari/|https://www.pinterest.com/pin/kalamkari-painting--21392166973510342/
Andhra Pradesh,Kurnool,https://kurnool.ap.gov.in/one-district-one-product/,MATCH,"fN3ZEsRpvUw,wrosWaKOqF0,ykg8LRLua4Q,euijbZgORAM,iI5TvsgULWQ",,https://dcmsme.gov.in/dips/Kurnool+dip++amended+march.pdf|https://des.ap.gov.in/jsp/social/kurnool-2020.pdf|https://www.readkong.com/page/brief-industrial-profile-of-kurnool-district-dc-msme-9611953|https://www.scribd.com/document/195767796/Kurnool-Industrial-Profile|https://arslanstonex.com/india-natural-stone-industry/
Andhra Pradesh,Nandyal,https://nandyal.ap.gov.in/one-district-one-product/,MATCH,"UqGYjXpdUoI,UTW5XKIO0xI,onylTYC6BZs,Oz_TStq3Sz0,33axooeKwtQ",,https://www.thehindu.com/news/national/andhra-pradesh/allagadda-stone-carvings-get-gi-tag/article23577913.ece|https://www.indianbusinessportal.in/GIProducts/handicraft-allagadda-stone-carving/c-186|https://www.deccanchronicle.com/southern-states/andhra-pradesh/allagadda-sculptures-trace-roots-to-vijayanagara-empire-1904821|https://swadesi.com/allagadda-stone-carving-andhra-pradesh/|https://iiecm.com/product/iiecm-certified-allagadda-stone-carving-marketing-professional/
Andhra Pradesh,NTR (Vijaywada),,FAILED,"3PAX4BYRQXc,9VcNXvTPhPg,NHvEqctae-c,_6-lxsLaAUU,w5F5DECG5qA",,https://ntr.ap.gov.in/kondapalli-bommalu/|https://www.newindianexpress.com/cities/vijayawada/2026/Apr/21/aps-kondapalli-toys-set-for-global-push|https://www.policycircle.org/opinion/etikoppaka-and-kondapalli-toys-india/|https://s3-ap-southeast-1.amazonaws.com/ijmer/pdf/volume9/volume9-issue12(7)/1.pdf
Andhra Pradesh,Palnadu (Narasaraopeta),,FAILED,,,https://www.thehindu.com/news/cities/Visakhapatnam/durgi-stone-sculptors-stare-at-a-dying-art/article26394513.ece|https://giheritage.com/product/durgi-stone-carvings-durg14|https://timesofindia.indiatimes.com/city/hyderabad/pochampally-logo-durgi-stone-sculpture-get-gi-tag/articleshow/61524978.cms|https://edurev.in/test/44717/Test-One-District-One-Product-Palnadu-District|https://www.incredibleindia.gov.in/en/andhra-pradesh/durgi-stone-carvings
Andhra Pradesh,Parvathipuram Manyam,https://parvathipurammanyam.ap.gov.in,BASE,,,https://www.news18.com/india/in-andhras-parvathipuram-manyam-tribals-share-tips-to-test-purity-of-honey-8938647.html|https://www.upscale-media.ai/|https://voterlist.co.in/parvathipuram-manyam/|https://branch-atm-locator.bankofmaharashtra.bank.in/locations/vizianagaram/bobilli-road/bank-of-maharashtra-in-bobilli-road-vizianagaram--1Fv4EG/home|https://apeasternpower.com/payBillOnline
Andhra Pradesh,Prakasam,https://prakasam.ap.gov.in/one-district-one-product/,MATCH,"WcLUWqv3qSg,E_01x_QOVAU,74fbo5mTau8,ITBzRLvQ998,AZZkah-bXYo",,https://www.regattagranitesindia.com/the-increasing-popularity-of-indian-granite-around-the-world-2/|https://prakasam.ap.gov.in/granite-black-galaxy-odop/|https://www.thehansindia.com/business/prakasam-land-of-untapped-opportunities-667906|https://timesofindia.indiatimes.com/city/amaravati/granite-industry-grapples-with-loss-of-jobs-revenue/articleshow/96926528.cms|https://stonenews.eu/the-granite-industry-in-india-a-growing-powerhouse/
Andhra Pradesh,SPSR Nellore,,FAILED,,,https://giheritage.com/products/udayagiri-wooden-cutlery?display=list|https://tvami.com/collections/udayagiri-cutlery|https://www.gitagged.com/product/udayagiri-wooden-cutlery/|https://www.deccanchronicle.com/southern-states/andhra-pradesh/ap-cm-naidu-urges-promotion-of-udayagiri-wood-cutlery-craft-1909254|https://www.verifiedmarketresearch.com/product/wooden-cutlery-market/
Andhra Pradesh,Sri Sathya Sai (Puttaparthi),,FAILED,"cA7tp-v3fls,vwHUmbj-hqg,-vwGPf2W0zo,Px-5EA1UTMM,4D7zjGxT8gA",,https://www.academia.edu/144475698/Current_Status_of_Sericulture_in_Sri_Sathya_Sai_Districts_of_Andhra_Pradesh_A_Review|https://www.jetir.org/papers/JETIR2501766.pdf|https://srisathyasai.ap.gov.in/one-district-one-product/|https://www.deccanchronicle.com/southern-states/andhra-pradesh/traders-due-over-2000-crore-to-master-weavers-in-satya-sai-district-1944797|https://www.imarcgroup.com/silk-industry-in-india
Andhra Pradesh,Srikakulam,https://srikakulam.ap.gov.in/one-district-one-product/,MATCH,"c8xyBWyDA6U,B40kYF5vX6M,UQ-g5Ypzdt0,n1JGhS0RYoI,E4l77gWWafs",,https://www.newindianexpress.com/states/andhra-pradesh/2026/Feb/09/ponduru-khadi-set-to-get-a-rs-100-crore-push-to-attract-international-markets|https://edurev.in/t/337866/One-District-One-Product-Srikakulam-District|https://kankatala.com/collections/ponduru-cotton-sarees|https://www.parijatstore.com/|https://www.vemshala.com/collections/ponduru-sarees
Andhra Pradesh,Tirupati,https://tirupati.ap.gov.in/one-district-one-product/,MATCH,"zx20-WlGxQM,J82WeCSD7bc,4W83MWBdT4Y,KS-LBX4Zjno,rMY083V0k8Q",,https://www.ibef.org/experience-india/products/srikalakasthi-kalamkari|https://lepakshihandicrafts.gov.in/the-enticing-appeal-of-kalamkari/|https://indyhaat.co.in/product/srikalahasthi-kalamkari-silk-multicolor-saree-mustard-yellow-and-pink/|https://www.utsavpedia.com/textiles/srikalahasthi-kalamkari/|https://indokrafts.com/collections/srikalahasti-kalamkari
Andhra Pradesh,Visakhapatnam,https://visakhapatnam.ap.gov.in/one-district-one-product/,MATCH,"vmPnC5nDQeQ,0jcht-7-oo0,6TdlHKhmeV4,j6oxkJg2TIw,uhGSRw6SuzM",,https://infra.economictimes.indiatimes.com/news/ports-shipping/visakhapatnam-port-leads-india-in-seafood-exports-with-219-billion/123558404|https://www.yovizag.com/the-seafood-industry-of-visakhapatnam-the-backbone-of-indias-booming-seafood-exports/|https://visakhapatnam.ap.gov.in/odop-information/|https://www.scribd.com/document/753252359/2024032719|https://mpeda.gov.in/?page_id=438
Andhra Pradesh,Vizianagaram,https://vizianagaram.nic.in,BASE,"YhPqWTEIWGQ,PLqLujuZh3c,gh0VVW963OQ,Wj0F4IrYv1U,L-VP7MTpK3s",,https://www.upscale-media.ai/|https://afodltd.com/product/philippine-brand-mango-jelly/|https://www.hubspot.com/state-of-marketing|https://writing9.com/text/64bea64c55d8a900185db613-the-diagram-below-shows-how-honey-is-made-in-small-|https://www.goodreturns.in/market-mood-index.html
Andhra Pradesh,West Godavari District,https://westgodavari.ap.gov.in/one-district-one-product/,MATCH,"4-7D-r5RIRw,IkGSzxQTMaA,fsl39Mlvq50,ydEZlyKUANE,oLqIu5RIKkI",,https://www.business-standard.com/industry/news/ayurveda-products-market-in-india-to-reach-rs-1-2-trillion-by-fy28-report-124040500512_1.html|https://www.bbc.com/news/articles/c5ypg4rgnrno|https://www.hubspot.com/state-of-marketing|https://static.investindia.gov.in/s3fs-public/2023-05/ODOP+Product+List_5thMay2023.pdf|https://www.commerce.gov.in/wp-content/uploads/2025/07/LSUSQ-No.-351.pdf
Andhra Pradesh,YSR Kadapa,https://kadapa.ap.gov.in/one-district-one-product/,MATCH,"5Pypw31CS8A,BQbI5XOrW8g,7pGqDux9WB4",,https://www.upscale-media.ai/|https://www.cnbctv18.com/market/commodities/india-jewellery-market-set-to-surpass-us-as-angara-eyes-1000-crore-revenues-by-2030-19656173.htm|https://30stades.com/farming/engineer-couple-builds-rs-15-crore-business-exotic-mushrooms-grow-wild-gucchi-indoors-uttarakhand-9016049|https://www.hubspot.com/state-of-marketing|https://heygenai.app/
Arunachal Pradesh,Anjaw,https://anjaw.nic.in,BASE,"cLDURcDaAU4,oWD0xrt7HDo,sWzauU59SLM,iB-9hY3oYVk,GIpyT01sk0M",,https://economictimes.indiatimes.com/news/economy/agriculture/once-a-opium-producer-arunachal-district-grows-large-cardamom/articleshow/27279106.cms|https://icar.org.in/en/oyster-mushroom-cultivation-using-large-cardamom-residue-waste-wealth-innovation-kvk-anjaw|https://www.academia.edu/60808910/Supply_Chain_and_Value_Analysis_of_Large_Cardamom_in_Arunachal_Pradesh_An_Analysis|https://sahasa.in/2020/10/20/sikkim-large-cardamom/
Arunachal Pradesh,Changlang,https://changlang.nic.in,BASE,"JaGGIk-N9S0,Bl28_LV4MiE,c2HLLSZ-qjY,TNKdfb1eJxM,mVG4kEkswf4",,https://www.mordorintelligence.com/industry-reports/areca-nuts-market|https://www.marketresearchfuture.com/reports/areca-nut-market-12495|https://www.maximizemarketresearch.com/market-report/areca-nuts-market/187932/|https://ijrar.org/papers/IJRAR1EAP109.pdf|https://www.emergenresearch.com/industry-report/areca-nut-market
Arunachal Pradesh,Dibang Valley,https://dibangvalley.nic.in,BASE,"ZDhBZivnBXc,zjClKbNDI4Y,eE7ZWcF3Q14,R6R6P99KEIk,5XNOGP2HtKc",,https://www.thepharmajournal.com/archives/2021/vol10issue12S/PartX/S-10-12-157-941.pdf|https://www.researchgate.net/publication/357393502_Potential_and_prospects_of_Kiwifruit_production_in_the_state_of_Arunachal_Pradesh|https://californiakiwifruit.org/wp-content/uploads/2024/07/2024-25-CA-Kiwifruit-Preliminary-Crop-Estimate.pdf|https://www.nzkgi.org.nz/wp-content/uploads/2025/07/NZKGI_KPI-Document-2025.pdf|https://croplibrary.com/kiwi-farming-profit-per-acre/
Arunachal Pradesh,East Kameng,https://eastkameng.nic.in,BASE,"LAToxtWrhgI,HNXhVHURs7w,DKk5k-f3UA4,BCnknUa-J9s,RgklN4tIq7M",,https://www.upscale-media.ai/|https://citrusindustry.net/2024/05/07/florida-orange-production-plummeted-years/|https://www.hubspot.com/state-of-marketing|https://www.homeelite.in/east-kameng/bedding.html|https://oblinex.in/Arunachal+Pradesh/Product+Design+App+Development/East+Kameng
Arunachal Pradesh,East Siang,https://eastsiang.nic.in,BASE,"Y7LqTo1Vu7w,CR3KyqleQPA,vfS3IfKLPkk,Wq8qVnr_MEc,PZGriUgd4PA",,https://www.isadp.in/publication/download-pdf/307|https://www.researchgate.net/publication/394799410_Economic_Analysis_of_Jaggery_Production_in_Punjab|https://dataintelo.com/report/jaggery-market|https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jaggery.pdf|https://www.strategicrevenueinsights.com/industry/jaggery-market
Arunachal Pradesh,Kamle,https://kamle.nic.in,BASE,"_2x_w7ZndA4,gmVHyAwUnkc,eTmDTyPtRVc,pvS5gJmA1Fc,L1ygpvZwqok",,https://www.kisaanhelpline.com/one-district-one-product/kamle|https://www.upscale-media.ai/|https://indianexpress.com/article/cities/chandigarh/apple-production-himachal-fungal-infection-old-plantations-9604770/|https://www.hubspot.com/state-of-marketing|https://30stades.com/farming/this-engineer-quit-larsen-toubro-for-mushroom-farming-clocks-rs70-lakh-annual-turnover-9326743
Arunachal Pradesh,Kra Daadi,https://kradaadi.nic.in,BASE,"-fbkCCcKo1k,8r-AwWIugPg,LJzw6SAAVww,F5V_2pebWXs,JgLMHCPIqyU",,https://www.ijssr.com/wp-content/uploads/journal/published_paper/volume-3/issue-2/IJSSR30901.pdf|https://www.mordorintelligence.com/industry-reports/cardamom-market|https://www.agriwatch.com/commodity/spices/cardamom|https://www.agrijournal.org/article/172/5-1-5-525.pdf|https://www.indianspices.com/sites/default/files/cultivation_practices-Cardamom.pdf
Arunachal Pradesh,Kurung Kumey,https://kurungkumey.nic.in,BASE,"Ejfy-wQsAv8,FeVobL4Fi6k,8r-AwWIugPg,8-0XZlpfPp8,SLrw3Ah4B_I",,https://www.ijssr.com/wp-content/uploads/journal/published_paper/volume-3/issue-2/IJSSR30901.pdf|https://www.nature.com/articles/s41598-023-47847-6|https://www.indianspices.com/sites/default/files/cultivation_practices-Cardamom.pdf|https://www.agrijournal.org/article/172/5-1-5-525.pdf|https://nhb.gov.in/NHBDPR/Cardamom_DPR.pdf
Arunachal Pradesh,Leparada,,FAILED,"47BnzItU_R8,NvBZtG9cprI,FXrWee6nWB8,c9O4Z8LeqaA,VAErOZiqw4w",,https://horticultureresearch.net/jah/2019_21_1_53_56.PDF|http://jraragra.in/Journals/2021Vol2/3.pdf|https://arccjournals.com/journal/bhartiya-krishi-anusandhan-patrika/BKAP483|https://www.academia.edu/41749174/King_chilli_Capsicum_chinense_Jacq_The_Indias_hottest_chilli_An_Overview|https://niftem-t.ac.in/pmfme/dpr-chili.pdf
Arunachal Pradesh,Lohit,https://lohit.nic.in,BASE,"C_bU1HRpQ3A,jptSBNEYjWo,RRAWCV7qLBo,vdGaZx9WiQI,nEfeBJpRePg",,https://www.marketdataforecast.com/market-reports/mustard-seed-market|https://www.igrain.in/posts/all-india-mustard-production-2024-25-detailed-report|https://khetikisaan.com/revised-mustard-seed-production-report-2023-24/|https://www.futuremarketinsights.com/reports/mustard-seed-market|https://agriculture.theceo.in/blogs/mustard-production-growth-india-2025-agribusiness-insights/
Arunachal Pradesh,Longding,https://longding.nic.in,BASE,"TChgklJ1uLg,cKRd4e-7whU,Rg3ktoJyMPI,Wq_7SZo0Ako,0SFo7FetpPE",,https://www.upscale-media.ai/|https://hyperallergic.com/can-santa-fe-indian-market-free-itself-from-the-settler-gaze/|https://www.unode50.com/us/en_US/home|https://www.pinterest.com/ideas/2026-jewelry-trends/900251041932/|https://addagems.com/
Arunachal Pradesh,Lower Dibang Valley,,FAILED,"s-Z1Jg36HP8,nJoFvrquEUs,6CLd4oB0IU0,TfFvTJiExss,feEbqIL81-o",,https://www.dcmsme.gov.in/dips/Lower+dibang++valley_18815.pdf|https://ijcrt.org/papers/IJCRT1136171.pdf|https://www.imarcgroup.com/ginger-processing-plant-project-report|http://14.139.189.27/AICRPS/TECH/T28.pdf|https://www.agrifarming.in/ginger-farming-business-plan-a-guide-to-production-and-cultivation-for-beginners
Arunachal Pradesh,Lower Siang,,FAILED,"jrnzRAYXeIo,1ME0rHMmelk,koWzEDnChFQ,Iv3tYjOcjWI,e-8fYNrsYak",,https://eventellglobal.com/pdf/webinar/India-turmeric-2024-crop-progress-and-prospects.pdf|https://www.researchgate.net/publication/389293133_Trends_and_dynamics_of_turmeric_markets_in_India|https://commodity-board.com/turmeric-market-pulse-strong-export-value-health-trends-drive-pricing-momentum/|https://www.globalinforesearch.com/reports/2827005/turmeric|https://masujournal.org/109/5vLS6oQEmaTYiwLeaSECMh2W0YGVbj.pdf
Arunachal Pradesh,Lower Subansiri,https://lowersubansiri.nic.in,BASE,"ZaQDEZEc1qo,5XNOGP2HtKc,UXLKsMtgjog,1Zah1_oAUM0,LAToxtWrhgI",,https://economictimes.indiatimes.com/topic/subansiri-lower-project|https://www.academia.edu/102265997/Production_and_market_efficiency_for_inland_fisheries_in_North_East_India_The_empirical_study_of_Lohit_and_Lower_Subansiri_districts_of_Arunachal_Pradesh|https://www.firstpost.com/opinion-news-expert-views-news-analysis-firstpost-viewpoint/lower-subansiri-hydro-electric-project-a-doom-in-the-downstream-11462411.html|https://www.power-technology.com/projects/lower-subansiri-hydroelectric-power-project/
Arunachal Pradesh,Namsai,https://namsai.nic.in,BASE,"iTw56Mc_bOE,jrnzRAYXeIo,iWVRacHLzfM,de6HrrMq94k,doqx2qREhDY",,https://www.nccih.nih.gov/health/turmeric|https://arunachal24.in/arunachal-chowna-mein-inaugurates-cfc-of-turmeric-aloevera-moringa-and-mushroom-sfurti-cluster-namsai/|https://www.upscale-media.ai/|https://agrimoon.com/namsai-fresh-cow-ghee-receives-national-recognition-under-niti-aayog-dcm-appreciates-dairy-farmers/|https://heygenai.app/
Arunachal Pradesh,Pakke Kessang,,FAILED,"weY7LUzAdPU,ei8_gx4Xmpw,ZVC59SN1LUg,IEknzKHm3vo,QJKtFtSJnZ8",,https://quickix.com/Pakke-Kessang|https://www.trisnafilms.com/pakke-kessang-fixer-lemmi-line-producer-arunachal-pradesh-filmmaker-india.html|https://arunkhabar.in/electricity-lights-up-remote-pakke-kessang-villages-after-long-wait/|https://databank.nedfi.com/districts-arunachal-pradesh/pakke-kessang|https://www.carlelo.com/lexus-cars/lx/price-in-Pakke-Kessang
Arunachal Pradesh,Papum Pare,https://papumpare.nic.in,BASE,"q2-XGgSRZZA,6A4wBTUpZTE,XXNFsG8LQEA,zzoqWAphcaI,Uc-cPiKjWug",,https://www.nccih.nih.gov/health/turmeric|https://arunachalobserver.org/2023/07/08/3-lakh-fishgerlings-given-free-make-papum-pare-self-sufficient-in-fish-dc/|https://www.silverrootsagro.com/papum-pare/|https://www.upscale-media.ai/
Arunachal Pradesh,Shi Yomi,https://shiyomi.nic.in,BASE,"wp6Mpqicht4,hHx0SKNYba0,wpjhg1t_g_Y,47t1JwNo58M,pOS4BkmD7n4",,https://www.upscale-media.ai/|https://polymarket.com/|https://www.tradingview.com/|https://www.hubspot.com/state-of-marketing|https://www.futuremarketinsights.com/reports/almond-milk-market
Arunachal Pradesh,Siang,https://siang.nic.in,BASE,"3eDgxvrhcc4,N6nbNew08Hs,aYo1ekakLiI,hmu6r_0QvHs,L2I44JFbeJY",,https://arunachal24.in/arunachal-pradesh-all-set-to-double-the-production-of-large-cardamom-tage-taki/|https://www.upscale-media.ai/|https://www.hubspot.com/state-of-marketing|https://polymarket.com/
Arunachal Pradesh,Tawang,https://tawang.nic.in,BASE,"GnM-eKnf6Zk,fv7Ki1rSVNo,kb7qsUpXrhk,ScFdkASmMAM,xX1pMi9js68",,https://www.kenresearch.com/articles/future-of-india-chilli-market-2030|https://www.helgilibrary.com/indicators/production-of-chilli-and-pepper-dry/malawi/|https://assets-global.echocommunity.org/publicationissues/229d016c-24aa-4f7a-8857-2b060f65c206/en/en_chili-production_print.pdf|https://agromind.in/wp-content/bsc-hort/sem-2-notes-new/PSMA-121+Theory+Notes+@AgroMind.pdf|https://www.mordorintelligence.com/industry-reports/dry-chilies-market
Arunachal Pradesh,Tirap,https://tirap.nic.in,BASE,"ykkSjvtVnJA,w23hxc0wZ9c,N4Cf44KtU_c,AHJdF5Hhvkw,a42CE5LiHqI",,https://www.agroexporters.net/tirap/ginger|https://www.upscale-media.ai/|https://www.hubspot.com/state-of-marketing|https://www.linkedin.com/pulse/annual-marketing-plan-west-bengal-region-wom-world-of-marketing|https://www.slideshare.net/slideshow/annual-strawberry-production/38457337
Arunachal Pradesh,Upper Siang,https://uppersiang.nic.in,BASE,"Q8Ech2QD99E,tSaoXuSvBmo,jWxhJA4MlHc,17Ae3ksF6hY,QWJNwUf5h-o",,https://arunachal24.in/arunachal-support-grows-for-siang-project-in-upper-siang/|https://www.upscale-media.ai/|https://indianexpress.com/article/cities/chandigarh/apple-production-himachal-fungal-infection-old-plantations-9604770/|https://www.hubspot.com/state-of-marketing|https://30stades.com/farming/engineer-couple-builds-rs-15-crore-business-exotic-mushrooms-grow-wild-gucchi-indoors-uttarakhand-9016049
