id,title,audience,desc,revenue,stakeholders,daily,investment,mbti,mbti_why,image,marketing,content,margins,supplies
11,Language Learning Platform,Ambitious globetrotters and professionals seeking language skills for career advancement.,Want to help people connect with different cultures? Start a language learning platform offering online courses and live tutoring.,Subscription fees. One-time course purchases. Live tutoring services. Corporate training.,Language teachers and instructors. Educational institutions.,Course development. Platform management. Customer support. Marketing.,Website and app development. Content creation. Marketing.,ENTP,"ENTPs are innovative and adaptable, great at coming up with new teaching methods.",https://i.spread.name/88934463-66d9-4ad7-8204-7cbdcc42fdd4_11.png,Content marketing. Referral programs. Social media. Influencer collaborations. Free trial classes.,"Language tips, cultural insights, student success stories, teaching methodology.",60-80% margin on digital courses,"Video recording equipment, language learning software, online platform"
12,Pet Grooming Center,Devoted pet parents seeking top-notch care and pampering for their furry family members.,"Want to help pet owners keep their furry friends clean and happy? Start a pet grooming center offering bathing, trimming, nail care, and more.",Grooming services. Pet product sales. Additional services like walking or training.,Pet suppliers for grooming products. Veterinarians for referrals.,Providing high-quality grooming. Building loyal customer base. Marketing.,Grooming equipment. Facilities. Trained and experienced groomers.,ESFJ,"ESFJs are nurturing, empathetic, and great at building relationships.",https://i.spread.name/9f813299-1d2a-4047-b17c-138bca04dadd_12.png,Social media presence. Referral programs. Collaborate with pet-related businesses. Special packages.,"Pet care tips, grooming before-and-afters, cute pet photos.",50-70% margin on grooming services,"Pet shampoos, clippers, grooming tables, dryers"
13,Dance Studio,"Energetic individuals seeking self-expression, fitness, and social connection through dance.",Want to get people moving? Start a dance studio offering various dance styles from classical to contemporary.,Membership fees. Sales of dance apparel. Workshops and events.,Dance instructors. Fitness and wellness businesses.,Offering variety of dance classes. Building dance community. Marketing.,Studio space. Experienced instructors. Robust marketing.,ESFP,"ESFPs are energetic, expressive, and in tune with their physical senses.",https://i.spread.name/f166f4b5-7a6a-46ed-93b1-a4d6610c664b_13.png,Social media. Offer free trial classes. Collaborate with schools. Dance competitions. Seasonal promotions.,"Dance tutorials, performance videos, student spotlights, class schedules.",50-70% margin on membership fees,"Sound system, mirrors, dance floors, costumes"
14,Bed & Breakfast,"Discerning travelers seeking intimate, locally-flavored lodging experiences.",Want to offer a home away from home? Start a bed and breakfast offering personalized service and unique experiences for travelers.,Room bookings. Food and beverages. Partnerships with local tour operators.,Local suppliers and vendors. Travel and tourism businesses.,Providing exceptional customer service. Maintaining property. Marketing.,Well-maintained property. Strong relationships with suppliers. Marketing.,ENFJ,"ENFJs are warm, welcoming, and excellent at building relationships.",https://i.spread.name/50250092-61d7-4f27-a8f5-8694608c1bb7_14.png,Online travel platforms. Social media. Collaborate with local businesses. Referral programs. Seasonal promotions.,"Guest stories, local area guides, room tour videos, breakfast recipes.",40-60% margin after operating costs,"Bedding, amenities, kitchen supplies, decor"
15,Test Preparation Services,Ambitious students and career-changers seeking a competitive edge in high-stakes exams.,"Want to help students succeed? Start test preparation services covering JEE, NEET, UPSC, CAT, GMAT, and other competitive exams.",Course fees. One-on-one tutoring. Mock tests. Study materials.,Experienced instructors and educators. Educational institutions.,Developing and delivering courses. Building reputation. Marketing.,Expertise in test preparation. Strong communication skills. Robust marketing.,INTJ,INTJs excel at strategic thinking and creating efficient systems.,https://i.spread.name/ab6c7f21-e50b-4073-8778-df7262e156bb_15.png,Social media advertising. Referral programs. Collaborations with schools. Free webinars. Success stories.,"Study tips, exam strategies, student testimonials, subject explanations.",60-75% margin on course fees,"Study materials, online learning platform, practice test software"
16,Home Cleaning Services,Time-pressed professionals and homeowners seeking a pristine living environment.,Want to help people live cleaner and healthier lives? Start home cleaning services offering regular and deep cleaning solutions.,Service fees for one-time and recurring cleaning. Sales of cleaning products. Corporate partnerships.,Trained and reliable cleaning staff. Suppliers of cleaning products.,Providing high-quality cleaning services. Building loyal customer base. Marketing.,Expertise in cleaning and customer service. Staff. Marketing.,ISTJ,"ISTJs are detail-oriented, reliable, and have a strong work ethic.",https://i.spread.name/fc255326-13dc-442b-8218-6b1604b6fb65_16.png,Online presence. Social media. Referral program. Collaborate with real estate agents. Flyers.,"Cleaning tips, before-and-after transformations, eco-friendly cleaning guides.",50-60% margin after staff and supply costs,"Cleaning chemicals, equipment, uniforms from wholesale suppliers"
17,Event Catering Services,Hosts and event organizers seeking to impress guests with memorable culinary experiences.,"Want to serve up success? Start event catering services for weddings, corporate gatherings, parties, and family celebrations.",Service fees for catering events. Food and beverage sales. Partnerships.,Experienced chefs and catering staff. Suppliers of food and beverages.,Providing high-quality catering. Building reputation. Marketing.,Expertise in food preparation. Staff. Vehicles for transport.,ENFJ,ENFJs are excellent at understanding and meeting people's needs.,https://i.spread.name/9216059b-0698-4a5d-9ea6-2de8ad676bc0_17.png,Social media engagement. Website and SEO. Partnerships with event planners. Offer tasting events.,"Recipe showcases, event highlights, behind-the-scenes kitchen content.",25-40% margin on catering contracts,"Commercial kitchen equipment, food service vehicles, quality ingredients"
18,Yoga & Meditation Classes,Stressed urbanites seeking physical and mental balance in their hectic lives.,"Want to help people find inner peace? Start a yoga and meditation studio offering classes in Hatha, Vinyasa, meditation, and pranayama.",Membership fees. Sales of accessories. Corporate wellness programs.,Yoga and meditation instructors. Wellness centers.,Offering high-quality classes. Building community. Marketing.,Studio space. Experienced instructors. Marketing.,INFJ,"INFJs are insightful and empathetic, able to create a calming atmosphere.",https://i.spread.name/aa4fe590-5d42-42b6-b747-81a8adcaa1ed_18.png,Social media. Referral programs. Collaborate with local businesses. Workshops. Loyalty programs.,"Yoga tutorials, meditation guides, wellness tips, instructor spotlights.",60-75% margin on memberships and classes,"Yoga mats, blocks, straps, meditation cushions, sound system"
19,Agro Processing Unit,Health-conscious consumers and businesses seeking quality locally-sourced processed food.,Want to help farmers add value to their products? Start an agro processing unit converting raw agricultural produce into value-added products.,Sales of processed products. Value-added services. Supply contracts.,Farmers and agricultural producers. Food manufacturers.,Processing and packaging agricultural products. Building relationships. Marketing.,Processing equipment and facilities. Skilled staff. Marketing.,ESTJ,"ESTJs are practical, organized, and good at implementing systems.",https://i.spread.name/10e2bdb0-8173-424d-a9a2-20c4856a573d_19.png,Partnerships with farmers. Retail and distributor networking. Branding. Export market penetration. E-commerce.,"Farm-to-table stories, processing techniques, product showcases.",20-40% margin on processed goods,"Grains, fruits, vegetables from local farmers; packaging materials"
20,Home Bakery,"Indulgence-seeking foodies craving artisanal, homemade baked treats.","Want to share your passion for baking? Start a home bakery offering customized cakes, pastries, and other baked goods.","Sales through online orders, events, or local cafes. Catering services.",Suppliers for ingredients and baking equipment. Local cafes or restaurants.,Developing unique recipes. Building online presence. Ensuring quality.,Commercial baking equipment. Ingredients. Marketing platform.,ISFP,ISFPs have a strong aesthetic sense and enjoy creating with their hands.,https://i.spread.name/06b12155-5359-441e-b198-9fb31be5fa7d_20.png,Social media marketing. Partner with local cafes. Offer free tastings. Seasonal promotions. Word-of-mouth.,"Baking tutorials, cake decorating videos, recipe shares, customer order showcases.",50-70% margin on baked goods,"Quality flour, butter, eggs, sugar, specialty ingredients from wholesale suppliers"
21,Freelance Writing,"Time-strapped businesses seeking polished, engaging written content.","Want to tell stories and share ideas? Start a freelance writing career offering blog posts, articles, website content, and copywriting.",Article and blog post writing. Copywriting. Editing and proofreading services.,Content marketing agencies. Businesses and websites.,Writing high-quality content. Building portfolio. Marketing.,Strong writing skills. Ability to meet deadlines. Marketing.,INTP,"INTPs are analytical, creative, and enjoy exploring complex ideas.",https://i.spread.name/fce7c6f8-5305-4b8b-b61b-0c2088f1e768_21.png,Create portfolio website. Leverage LinkedIn. Cold emailing. Guest blogging. Networking.,"Writing tips, content marketing guides, case studies.",80-90% margin (primarily labor),"Laptop, writing software, Grammarly, research tools"
22,Products Selling,Tech-savvy shoppers seeking convenience and value across diverse product categories.,Turn your passion into a profitable online business by selling products through e-commerce platforms.,Sales through online marketplaces. Commission-based affiliate marketing. Building loyal customer base.,Reliable suppliers for high-quality products. E-commerce platforms.,Sourcing and listing products. Creating engaging descriptions. Providing top-notch customer service.,Understanding of target audience. Ability to market effectively. Logistics management.,ESTP,"ESTPs are energetic, persuasive, and quick-thinking.",https://i.spread.name/d23c688c-3fb9-4edc-9825-8b916c7125b8_22.png,Social media marketing. Search engine optimization. Email marketing. Influencer partnerships. Seasonal promotions.,"Product reviews, unboxing videos, comparison guides, shopping tips.",15-50% depending on product category,"Products from wholesalers, dropshipping partners, or own manufacturing"
23,Virtual Assistant,"Overwhelmed entrepreneurs seeking efficient, flexible support for their growing businesses.","Offer virtual assistant services and help businesses and entrepreneurs manage their workload, save time, and increase productivity.",Hourly or package-based fees. Retainer-based models. Upselling additional services.,Businesses and entrepreneurs. Software and tool providers.,"Providing administrative, technical, or creative support. Managing emails, calendars. Building relationships.",Strong communication and organizational skills. Proficiency in virtual tools. Marketing.,ISTJ,"ISTJs are detail-oriented, organized, and reliable.",https://i.spread.name/744dcdbb-9dcf-4dff-a60d-6ee679811164_23.png,Professional website. Leverage LinkedIn. Join online marketplaces. Networking. Offer free consultation.,"Productivity tips, tool reviews, remote work guides, business support content.",80-90% margin (primarily labor),"Laptop, internet, productivity software, communication tools"
24,Affiliate Marketing,Aspiring digital entrepreneurs seeking passive income through online content creation.,Partner with businesses and promote their products or services to earn a commission for each sale made through your unique referral link.,Commission-based earnings. Building loyal audience. Diversifying income streams.,Businesses and product creators. Affiliate networks.,Creating engaging content. Building trust with audience. Staying updated.,Strong online presence. Ability to create compelling content. Understanding of target audience.,ENTP,ENTPs are innovative and strategic thinkers.,https://i.spread.name/09820faf-0e37-4449-b8fd-8701d62048ea_24.png,Search engine optimization. Social media marketing. Email marketing. Content collaboration. How-to guides.,"Product reviews, comparison content, niche tutorials, income reports.",5-30% commission on referred sales,"Website/blog, content creation tools, SEO software, email marketing platform"
25,Nutritional Coach,Health-conscious individuals seeking personalized guidance for optimal nutrition and wellness.,Offer personalized nutritional coaching to individuals seeking a healthier lifestyle with huge potential in the growing wellness field.,Coaching packages. Creating and selling online courses. Partnerships with wellness centers.,Clients seeking personalized nutrition guidance. Wellness centers.,Assessing clients' nutritional needs. Creating meal plans. Providing ongoing support.,Certification in nutrition. Strong listening skills. Ability to empathize.,INFJ,"INFJs are insightful and empathetic, able to create personalized plans.",https://i.spread.name/dca97197-a387-41c9-991a-9b5e2deaf1d4_25.png,Social media presence. Content marketing. Free workshops or webinars. Referral program. Gym partnerships.,"Nutrition guides, meal prep ideas, healthy recipes, client transformations.",70-80% margin on coaching services,"Nutrition tracking software, consultation platform, educational materials"
26,Fitness Coach,Motivated individuals seeking personalized guidance to achieve their fitness goals.,Offer personalized fitness coaching to individuals seeking a healthier and more active lifestyle.,Coaching packages. Creating and selling online fitness programs. Partnerships with gyms.,"Clients seeking personalized fitness guidance. Gyms, fitness studios.",Assessing clients' fitness goals. Creating workout plans. Providing ongoing motivation.,Certification in fitness. Strong understanding of fitness principles. Ability to motivate.,ENFJ,ENFJs are natural mentors with strong leadership skills.,https://i.spread.name/3a50cc5a-c396-4b66-9f7f-8f6ed89c347e_26.png,Social media. Build email list. Collaborate with gyms. Offer free workshops. Referral program.,"Workout videos, fitness tips, transformation stories, training guides.",70-80% margin on coaching,"Fitness equipment, workout tracking apps, video recording gear"
27,Network Marketing,Ambitious individuals seeking flexible income opportunities through direct sales.,Join a network marketing company and build a business by selling products and recruiting others to join your network.,Sales of products. Commission on network sales. Leadership bonuses.,Network marketing company. Customers seeking products. Team members.,Building relationships. Selling products. Training team members.,Strong communication skills. Ability to build trust. Understanding of network marketing model.,ESFJ,"ESFJs are sociable, empathetic, and good at building relationships.",https://i.spread.name/1bcf5eab-8732-4f47-b7f3-a7db6740de03_27.png,Leverage social media. Host virtual events. Referral program. Build personal brand. Attend networking events.,"Product testimonials, success stories, team culture content.",20-50% commission depending on structure,"Product samples, marketing materials, CRM tools"
28,Stock Photography,"Creative professionals and businesses seeking high-quality, diverse imagery.","If you have a good camera and an eye for photography, consider selling your photos on stock image websites.",Royalties from photo sales. Licensing fees. Volume sales through subscription models.,Stock image websites. Photographers and contributors. Customers.,Taking high-quality photos. Uploading and tagging. Promoting portfolio.,Good camera equipment. Understanding of lighting and composition. Ability to manage photos online.,ISFP,ISFPs have a strong aesthetic sense and are attuned to visual details.,https://i.spread.name/b3c19dbc-5c63-4949-b02a-ddf53dafdfdd_28.png,Optimize SEO on stock platforms. Social media presence. Build personal website. Collaborate with bloggers. Diversify platforms.,"Photography tips, behind-the-scenes shoots, editing tutorials.",15-40% royalty on each download,"Professional camera, lenses, editing software, cloud storage"
29,Consulting Services,Decision-makers in organizations seeking expert guidance to solve complex problems.,"If you have expertise in a particular area, consider offering consulting services to individuals or businesses.",Hourly or project-based consulting fees. Retainer-based models. Package deals.,Clients seeking expert advice. Other consultants for collaborations.,Identifying areas of expertise. Building professional network. Delivering high-quality consulting.,Strong expertise in a particular area. Excellent communication skills. Ability to analyze problems.,ENTJ,ENTJs are strategic thinkers with strong leadership skills.,https://i.spread.name/8de5cf82-4b00-42d9-b27e-b7fefe7df951_29.png,Content marketing. Networking. Referral program. LinkedIn outreach. Offer free consultations.,"Industry insights, case studies, whitepapers, expert commentary.",70-85% margin on consulting fees,"Laptop, presentation tools, industry research subscriptions"
30,Personalised Gifting,"Thoughtful gift-givers seeking unique, meaningful presents for special occasions.","Offer personalized gifting services, creating customized gifts for special occasions with unique, one-of-a-kind items.",Sales of personalized gifts. Custom orders. Partnerships with event planners.,Suppliers of gift materials and printing services. Customers.,Designing and creating personalized gifts. Marketing. Building customer relationships.,Creativity and design skills. Access to printing materials. Ability to understand customer preferences.,ENFP,"ENFPs are creative, empathetic, and good at understanding people.",https://i.spread.name/7286ffe6-22f0-4b0d-ba4c-4054beaa3821_30.png,Social media marketing. Collaborate with event planners. Offer seasonal promotions. Referral program. Influencer partnerships.,"Gift inspiration, customization processes, customer testimonials.",50-100% markup on personalized items,"Printing equipment, blank products, engraving tools, packaging"
31,Candle Making,"Ambiance-seeking individuals and businesses desiring artisanal, aromatic candles.",Start a candle-making business creating scented and unscented candles for home decor and gift-giving.,Sales online and offline. Custom orders. Wholesale partnerships.,"Suppliers of wax, fragrances, and materials. Customers.","Creating high-quality, unique candles. Marketing. Building customer relationships.",Knowledge of candle-making techniques. Access to quality materials. Ability to create unique fragrances.,ISFP,"ISFPs have a strong aesthetic sense and enjoy creating beautiful, sensory experiences.",https://i.spread.name/2dddbed7-5ac4-45d6-abe5-040e53b5fe82_31.png,Social media campaigns. Collaborate with influencers. Seasonal promotions. Pop-up shops. Partner with retailers.,"Candle-making tutorials, fragrance guides, home styling tips.",50-70% margin on handmade candles,"Soy wax, beeswax, essential oils, wicks, containers, molds"
32,Caricature Artist,"Fun-loving individuals and event planners seeking unique, personalized entertainment.","Offer custom caricature services, creating humorous and exaggerated portraits for events, gifts, and entertainment.",Live caricature services for events. Custom commissions. Corporate clients. Merchandise.,Event planners and party organizers. Customers.,"Creating high-quality, humorous caricatures. Marketing. Building relationships with event planners.",Artistic talent and caricature skills. Ability to work under pressure. Understanding of humor.,ENTP,"ENTPs are quick-thinking and observant, able to capture unique characteristics quickly.",https://i.spread.name/e576442f-e1b2-4610-b786-434a8647164d_32.png,Social media promotion. Collaborate with event planners. Offer free giveaways. Attend local markets. Build online portfolio.,"Caricature time-lapses, event highlights, client reactions.",70-80% margin on event services,"Drawing tablet, pens, paper, portable setup"
33,Illustrator,Creative professionals and businesses seeking unique visual storytelling.,"Offer custom illustration services, creating unique and imaginative artwork for clients in various industries.",Freelance illustration projects. Sales of stock illustrations. Licensing of illustrations.,"Clients in publishing, advertising, and other industries. Other creatives for collaborations.","Creating high-quality, imaginative illustrations. Marketing. Building relationships.",Artistic talent and illustration skills. Understanding of visual storytelling. Ability to work independently.,INFP,"INFPs are imaginative and creative, often with a unique artistic vision.",https://i.spread.name/2d2dbf58-a775-41c6-baf1-5f2f2a008341_33.png,Build strong online presence. Collaborate with writers and brands. Offer free resources. Run contests. Attend art markets.,"Illustration process videos, artwork showcases, creative tutorials.",60-80% margin on commissions,"Drawing tablet, illustration software, reference materials"
34,Makeup Artist,Image-conscious individuals seeking professional makeup expertise for special occasions.,"Offer makeup services for special occasions, events, and everyday looks in the growing beauty industry.",Makeup services for clients. Sales of makeup products. Partnerships with beauty businesses.,Clients seeking makeup services. Beauty suppliers.,Providing high-quality makeup services. Marketing. Building relationships.,Makeup skills and training. Understanding of different skin types. Ability to work under pressure.,ESFP,"ESFPs are hands-on, adaptable, and attuned to aesthetics.",https://i.spread.name/84fd460e-026d-417f-9e1e-179f19988804_34.png,Instagram and YouTube. Collaborate with photographers. Offer referral discounts. Attend bridal shows. Portfolio website.,"Makeup tutorials, product reviews, transformation videos, bridal looks.",60-70% margin on makeup services,"Professional makeup kit, brushes, skincare products, lighting"
35,Yoga Instructor,Health-conscious individuals seeking physical and mental balance through guided yoga practice.,"Offer yoga classes, workshops, and private sessions, teaching various yoga styles and techniques.",Yoga class and workshop fees. Private session fees. Partnerships with studios.,"Yoga students and clients. Yoga studios, gyms.",Teaching high-quality yoga classes. Marketing. Building relationships with students.,Yoga training and certification. Understanding of various yoga styles. Ability to create peaceful environment.,INFJ,"INFJs are insightful and empathetic, able to create a calming atmosphere.",https://i.spread.name/8f33750d-3dd2-430d-8ed6-e1433488faf3_35.png,Social media presence. Collaborate with local businesses. Offer free introductory classes. Referral program. Yoga challenges.,"Yoga tutorials, mindfulness guides, student testimonials, practice tips.",65-75% margin on classes and workshops,"Yoga mats, blocks, straps, sound system, studio space"
36,Zumba Fitness Trainer,"Energetic individuals seeking fun, effective workouts that blend fitness with dance.","Offer Zumba fitness classes, workshops, and private sessions, teaching high-energy dance workouts.",Zumba class and workshop fees. Private session fees. Corporate sessions.,"Zumba students and clients. Gyms, studios, community centers.",Teaching high-energy Zumba classes. Marketing. Building relationships.,Zumba training and certification. Understanding of dance and fitness. Ability to create fun environment.,ESFP,"ESFPs are energetic, fun-loving, and in tune with their physical senses.",https://i.spread.name/a8afe362-e1de-4252-869e-3493edc67c23_36.png,Social media marketing. Offer free trial classes. Partner with gyms. Run referral programs. Host themed events.,"Zumba workout clips, dance fitness tips, class highlights.",60-70% margin on classes,"Music system, comfortable workout attire, space"
37,Pilates Trainer,"Body-aware individuals seeking to improve core strength, posture, and physical well-being.","Offer Pilates classes, workshops, and private sessions, teaching low-impact exercises for core strength.",Pilates class and workshop fees. Private session fees. Corporate programs.,"Pilates students and clients. Studios, gyms.",Teaching high-quality Pilates classes. Marketing. Building relationships.,Pilates training and certification. Understanding of anatomy. Ability to create supportive environment.,ISTJ,"ISTJs are detail-oriented and patient, which is crucial for teaching proper form.",https://i.spread.name/475e0bc0-ff11-4c09-ae20-b41806d35a03_37.png,Social media marketing. Offer free trial classes. Collaborate with physiotherapy clinics. Referral programs.,"Pilates tutorials, posture correction guides, core strength tips.",60-70% margin on classes,"Reformer machines, mats, props, resistance bands"
38,Fitness Clothing Brand,"Active, style-conscious individuals seeking functional, fashionable workout wear.","Design and sell high-quality, comfortable, and stylish fitness clothing for men and women.",Sales of fitness clothing. Wholesale partnerships. Corporate orders. Subscription boxes.,"Suppliers of high-quality fabrics. Fitness influencers, ambassadors.",Designing and manufacturing fitness clothing. Marketing. Building brand.,Fashion design and production expertise. Understanding of fitness industry. Ability to create strong brand.,ESTP,ESTPs are action-oriented and attuned to trends.,https://i.spread.name/dd4d9995-f85d-4674-ba0c-a6219c12ad8c_38.png,Leverage social media influencers. Create engaging brand story. Host fitness events. Referral and loyalty programs.,"Workout outfit inspiration, fitness lifestyle content, brand stories.",40-60% margin on apparel,"Performance fabrics, manufacturing partners, packaging"
